Species	Symbol	Gene_ID
Arabidopsis_thaliana	MEE35	AT3G15030
Arabidopsis_thaliana	MEE35	AT3G15030
Arabidopsis_thaliana	MEE35	AT3G15030
Arabidopsis_thaliana	ANAC054	AT3G15170
Arabidopsis_thaliana	SPL5	AT3G15270
Arabidopsis_thaliana	ANAC055	AT3G15500
Arabidopsis_thaliana	ANAC056	AT3G15510
Arabidopsis_thaliana	TCX8	AT3G16160
Arabidopsis_thaliana	GATA17	AT3G16870
Arabidopsis_thaliana	CAMTA6	AT3G16940
Arabidopsis_thaliana	HYH	AT3G17609
Arabidopsis_thaliana	HYH	AT3G17609
Arabidopsis_thaliana	HYH	AT3G17609
Arabidopsis_thaliana	HYH	AT3G17609
Arabidopsis_thaliana	anac057	AT3G17730
Arabidopsis_thaliana	anac058	AT3G18400
Arabidopsis_thaliana	AtBRC1	AT3G18550
Arabidopsis_thaliana	AtBRC1	AT3G18550
Arabidopsis_thaliana	ABF4	AT3G19290
Arabidopsis_thaliana	ABF4	AT3G19290
Arabidopsis_thaliana	ABF4	AT3G19290
Arabidopsis_thaliana	bHLH121	AT3G19860
Arabidopsis_thaliana	bHLH121	AT3G19860
Arabidopsis_thaliana	PFA6	AT3G20640
Arabidopsis_thaliana	GATA29	AT3G20750
Arabidopsis_thaliana	AtEIN3	AT3G20770
Arabidopsis_thaliana	NF-YA9	AT3G20910
Arabidopsis_thaliana	GATA24	AT3G21175
